	 about	 city	 country	 category	 description	 cluster	 user_id
292	fashion	GlyfÃ¡das	Greece	Education	fashion	2	1081319261921778
293	fashion	RzeszÃ³w	Poland	Public Figure	fashion	2	1075750705872176
294	accessories	Vancouver	Canada	Product/Service	accessories	1	1071535369568624
295	car	Rome	Poland	Cars	accessories	1	1068635576541972
296	design	Cervia	Argentina	Author	fashion	0	106026742849682
297	accessories	Kwai Chung	Hong Kong	Company	accessories	1	105626302922935
298	fashion	Milan	Turkey	Company	design	3	105392986487296
299	design	æ¸¯åº	Italy	Personal Blog	fashion	0	1052974111417635
300	fashion	Vista	United States	Home Security Company	fashion	2	104820856332
301	accessories	Paris	Italy	Artist	fashion	0	104535289593076
302	blog	Poznan	Hungary	Website	blog	1	104487569665123
303	hair	RzeszÃ³w	Spain	Artist	fashion	0	104237793030673
304	accessories	Bandar Baru Enstek	Poland	Real Estate	accessories	1	1039117029501781
305	fashion	Vilaseca	Italy	Product/Service	fashion	2	1032628263531363
306	beauty	RzeszÃ³w	Australia	Health/Beauty	fashion	0	1029075790446615
307	fashion	Melbourne	Italy	Community	fashion	2	102800173099665
308	fashion	Milan	Italy	Sushi Restaurant	fashion	2	110593149028214
309	accessories	Florence	Italy	Shopping & Retail	fashion	0	110378796336
310	design	Madrid	Spain	Photographer	food	1	109558825748804
311	fashion	Mato Grosso	Brazil	Blogger	design	3	1089418871083534
312	design	Misérieux	France	Automotive Parts Store	fashion	0	104453739592485
313	design	Bursa	Turkey	Commercial & Industrial Equipment Supplier	fashion	0	1035902069786534
314	design	Bursa	Turkey	Commercial & Industrial Equipment Supplier	fashion	0	1035902069786534
